user_id,reranked_rec
29,"[1033615, 883404, 935284, 995242, 838602, 834833, 985119, 925626, 891505, 1108854, 925437, 934653, 898510, 1026346, 918400, 1083446, 5568378, 849288, 1021133, 911502, 826249, 1094691, 1029743, 827180, 5568721, 6979005, 920239, 7409874, 893018, 999858]"
30,"[6534178, 923746, 859075, 1096343, 1106523, 930118, 900491, 929668, 977499, 1003188, 1022254, 1025535, 1055646, 1098066, 1068719, 854405, 908318, 1127831, 1112238, 1005186, 962206, 1049788, 1087785, 903325, 1136257, 1043301, 926900, 1048563, 837751, 1025581]"
31,"[6534178, 5570383, 1082185, 1040807, 9526100, 1058997, 1070820, 1136257, 1126899, 997907, 848015, 1057260, 896085, 12385374, 866211, 829802, 942817, 854852, 929668, 907647, 882190, 1062128, 970119, 1003141, 864279, 971922, 982984, 968992, 1042438, 1070214]"
32,"[995785, 6534178, 908846, 397896, 972569, 961554, 959737, 1093359, 1005186, 1003649, 8293447, 1055853, 9832628, 908312, 1003441, 908318, 1136257, 1068291, 840361, 901062, 1105488, 928754, 12673433, 862349, 1068719, 1021522, 1094924, 279994, 1022053, 5995603]"
33,"[1106523, 1096036, 920844, 6534178, 871756, 1005186, 857849, 823565, 968146, 854405, 1098066, 9831469, 832678, 1128665, 1002558, 987562, 884774, 826249, 1111230, 1071939, 1038663, 986912, 6533765, 1025611, 994928, 970792, 5569327, 9527160, 820122, 9526430]"
34,"[1029743, 6534178, 883404, 993638, 1123792, 1000753, 1055863, 1080414, 15716719, 833465, 1110255, 879755, 819927, 6533765, 826249, 1065593, 1044078, 1056005, 916122, 1074271, 925514, 987562, 854852, 6534657, 7168058, 998049, 961791, 997128, 1067378, 1096791]"
35,"[1126899, 1058997, 6534178, 943141, 5565202, 1115175, 5569230, 908531, 914190, 819978, 1029743, 1033857, 6534030, 940947, 1074754, 1048462, 9570062, 953539, 1076056, 837270, 1092885, 956902, 6464165, 983584, 5568378, 982955, 1087916, 1047226, 1017772, 862349]"
36,"[962229, 1029743, 995242, 969568, 865705, 1097991, 7409970, 1007136, 5587133, 925626, 861445, 1096317, 5564901, 1110843, 866211, 1024306, 849578, 826249, 1047076, 826666, 5584620, 916122, 1082185, 957938, 850157, 1053763, 911215, 954966, 972742, 5584027]"
37,"[844165, 1067695, 1097001, 1073120, 1092026, 1053690, 6534178, 6533889, 1132956, 916381, 1046689, 1106523, 840601, 847962, 1056212, 1027090, 916990, 1135681, 893501, 5574377, 1076056, 862732, 1035121, 898448, 978913, 7431990, 834117, 1067606, 909714, 1128812]"
39,"[1127716, 1082185, 1126899, 6513713, 838859, 5568249, 995785, 880050, 9416729, 6395907, 923746, 883404, 1138487, 826249, 944836, 1058930, 1122928, 868683, 857503, 865178, 916122, 977344, 993685, 882496, 9655212, 903325, 909894, 957164, 9676948, 1102927]"
40,"[1082185, 840361, 903325, 1112205, 995242, 1056651, 6534178, 1076587, 995785, 1037863, 961554, 928092, 1083043, 996539, 1055504, 927191, 964717, 895268, 835279, 928263, 995852, 845288, 849843, 854852, 908531, 822140, 879194, 997539, 852486, 1089392]"
41,"[909714, 1082185, 9651582, 913210, 1120009, 5995445, 6961848, 1077430, 844740, 9419888, 1044805, 865705, 12810393, 1126899, 981760, 8181516, 931608, 878290, 10204837, 827806, 874972, 1058997, 972569, 849843, 1093359, 1055853, 1084177, 976998, 936594, 1003441]"
42,"[1082185, 981760, 976998, 6602697, 839656, 1112766, 1076195, 5995177, 1060673, 953476, 961554, 990440, 966695, 955879, 946839, 867519, 904774, 994928, 1098910, 962777, 897120, 9297403, 890127, 887225, 1136257, 1022011, 905986, 896369, 823758, 1071939]"
43,"[1120741, 6534178, 844165, 821787, 874736, 6391137, 1010190, 962118, 9802643, 890455, 952163, 1115800, 879755, 1065496, 1071554, 9802691, 13095134, 822470, 905235, 1122679, 9575181, 12188526, 908531, 903035, 1107144, 1057744, 1115130, 9802666, 9803687, 9858607]"
46,"[1029743, 995242, 1082185, 1121360, 862335, 882247, 889649, 857503, 999104, 823704, 849843, 826249, 1098844, 866211, 981760, 852856, 890695, 7442008, 1098066, 1068719, 1127831, 899624, 1006184, 909714, 933835, 1094955, 1074754, 903325, 5565925, 965267]"
47,"[6533681, 9858936, 995785, 861990, 1005186, 859427, 892294, 6533236, 995242, 6534077, 951590, 974179, 916122, 934948, 8090537, 980823, 948665, 888835, 912840, 12262778, 999858, 1075283, 1019497, 827656, 963727, 964011, 8119318, 9420159, 826249, 881249]"
49,"[5569471, 831808, 1014915, 6534178, 873782, 1069268, 1082185, 893501, 1033846, 1101771, 1070820, 900770, 901067, 911311, 862349, 935200, 1004906, 962229, 1139782, 916122, 1074333, 990256, 1040346, 1027168, 8090532, 8090536, 847982, 971922, 9526411, 12301405]"
52,"[1082185, 972665, 857503, 993592, 1106523, 10355865, 995785, 878880, 1053690, 1116020, 1088393, 1133018, 1060408, 850795, 1074754, 5569230, 1116821, 1085983, 1109680, 6534178, 879280, 1040371, 937403, 883940, 915349, 865705, 968215, 970030, 1119051, 951590]"
53,"[5569471, 6034857, 1031083, 964853, 6534178, 902238, 999858, 917732, 1105623, 1099802, 906335, 897125, 927382, 976998, 1137342, 5566674, 839419, 5588666, 9487606, 1058997, 833940, 9878513, 870720, 7167865, 5564636, 908846, 1103317, 1129709, 904360, 892920]"
55,"[844165, 849843, 1116589, 871756, 995242, 883932, 1097280, 1082185, 5570467, 1106091, 1115800, 1134058, 5572884, 9911484, 889319, 950557, 909256, 995722, 1039549, 890610, 889731, 932006, 9527558, 988791, 5570513, 882496, 922318, 1034837, 1060567, 863337]"
56,"[1058997, 940947, 979707, 1056651, 981760, 9803545, 6533608, 9655212, 832678, 908531, 5568072, 1082185, 5569230, 891415, 1068651, 900586, 1101010, 1023226, 1039796, 963835, 958826, 1058686, 13672065, 1003321, 835530, 1011926, 1078543, 926210, 973861, 878637]"
57,"[947147, 12757506, 931108, 861615, 1133018, 995785, 882305, 6534178, 9527158, 986912, 1139023, 1027168, 952122, 848319, 1073775, 9297602, 989409, 987237, 9297056, 878302, 1048563, 995242, 1109352, 879755, 910291, 854852, 1082185, 908531, 860439, 826249]"
58,"[1082185, 995785, 6534178, 840361, 870515, 834484, 970030, 1070820, 961554, 909714, 953243, 1058997, 1092446, 999639, 1106523, 1043301, 901062, 995242, 1133018, 1029743, 862349, 916758, 1093966, 1054216, 1008324, 1136375, 968992, 1095275, 866227, 1127831]"
59,"[981760, 995785, 834484, 845208, 847789, 1056509, 826385, 1013321, 1082185, 6534178, 1024032, 1101449, 845288, 872642, 1098066, 1081177, 1095700, 957951, 972931, 866211, 912451, 12810391, 1022254, 1042697, 847962, 1004906, 1126895, 1057260, 826249, 1112333]"
62,"[201704, 1082185, 51716, 961554, 43871, 840361, 981760, 818981, 818996, 818980, 819063, 819112, 819227, 117847, 819308, 34873, 819304, 819302, 1080867, 870217, 819255, 1127831, 279994, 397896, 707683, 420647, 480014, 202291, 731106, 545926]"
63,"[1062572, 7431408, 892144, 9677462, 1028166, 1068719, 925862, 872342, 1125123, 838738, 921554, 1050524, 10285106, 865196, 9858920, 883940, 865718, 995598, 977093, 834117, 1031892, 937571, 871570, 1046545, 1106894, 1040346, 1020823, 994995, 856772, 10312347]"
64,"[976998, 894236, 1013928, 978965, 1031866, 1111839, 7152455, 869024, 1065593, 5591038, 840361, 907014, 853172, 928049, 1082185, 1106523, 987615, 1081177, 856060, 951590, 1093413, 866227, 952893, 1095100, 862349, 1106116, 918733, 1123086, 860776, 7167249]"
65,"[1070820, 1029743, 962229, 961889, 1082185, 986912, 837107, 1124729, 12330856, 1011300, 844165, 965766, 1080414, 914190, 906262, 1095964, 952254, 1117336, 1128016, 1085604, 890695, 920091, 1103043, 987480, 834103, 838487, 840361, 1089381, 1047450, 893501]"
67,"[833025, 1082185, 1029743, 1104414, 6534178, 9420067, 951590, 971922, 995242, 862349, 961554, 878996, 7025114, 1098066, 859075, 933835, 990797, 914697, 910109, 826120, 1139915, 1034176, 1024306, 6039687, 892728, 1067606, 1038467, 1127831, 9526410, 904360]"
68,"[995242, 1029743, 1085604, 951590, 1004906, 883404, 879755, 981760, 9526563, 1068719, 9527158, 1037894, 6534178, 1101010, 1082185, 947798, 986760, 1065593, 1080414, 9526886, 916122, 861445, 826249, 1075470, 5568426, 925258, 921614, 1095068, 949616, 839147]"
69,"[951590, 1050131, 907014, 1127470, 1133018, 1033615, 989075, 1019497, 1053763, 981760, 5592931, 824555, 1037631, 6979427, 918733, 1106523, 985119, 1044078, 944137, 995785, 1068719, 972143, 910673, 902377, 1044188, 1025611, 844179, 933067, 826249, 871061]"
70,"[1039156, 894236, 1082185, 1029743, 995242, 5995692, 925626, 887691, 948420, 981760, 1130375, 1076056, 1044153, 1081189, 5995609, 5995503, 1109014, 201704, 1036297, 34873, 940770, 43871, 968057, 117847, 1127624, 1003158, 865891, 904375, 51716, 202291]"
71,"[1008288, 1056509, 10149656, 1122889, 926905, 899624, 1018859, 1044078, 897954, 1029743, 1110764, 1016800, 860776, 973135, 908531, 1091809, 1005186, 1090931, 844179, 1116020, 1091365, 1022428, 1055863, 995242, 951590, 1082185, 13003092, 1132280, 1127831, 904360]"
72,"[1082185, 5585510, 8019681, 860776, 862349, 961791, 1073775, 914190, 979707, 976199, 6534178, 844179, 846833, 1081177, 1125948, 820165, 9296919, 909894, 908846, 963286, 938566, 1011645, 945273, 1127831, 952254, 1039549, 922318, 1033142, 951746, 976300]"
75,"[480014, 545926, 1082185, 961554, 1029743, 995785, 840361, 1098066, 981760, 995242, 1071733, 1058997, 6464101, 1015694, 866211, 883299, 904360, 916122, 854852, 1054945, 1077281, 34873, 12352364, 824193, 949836, 43871, 6534178, 1127831, 988277, 1135983]"
77,"[1082185, 1106523, 1126899, 6979128, 955921, 981760, 1003188, 908531, 1013321, 996123, 857503, 868319, 1034290, 9677874, 916122, 849578, 901062, 1124729, 819927, 879977, 9676997, 1093966, 929668, 829323, 849843, 847049, 1131321, 826249, 1055425, 925514]"
78,"[1082185, 849843, 923746, 968932, 5995609, 1003188, 6773232, 835634, 1039627, 995055, 9420312, 950098, 835098, 896369, 1003836, 8205218, 9573206, 1127338, 1023027, 5591154, 955910, 9420336, 1109948, 1081421, 1041476, 925282, 1097280, 9655678, 13511722, 6944571]"
79,"[1082185, 1070015, 1070820, 862349, 908531, 923746, 918907, 1103513, 864741, 1053690, 6533889, 883932, 944167, 1010164, 1120261, 989157, 1018670, 6534178, 12263279, 1005186, 983795, 861445, 1070845, 12352330, 5591520, 997112, 851287, 900802, 1072968, 9526410]"
80,"[1082185, 995242, 1029743, 849843, 866211, 1023958, 1055504, 878996, 6534178, 910673, 993638, 1039156, 850795, 859075, 987562, 1002558, 1098066, 1063594, 1005186, 826249, 931532, 969866, 855468, 939636, 992529, 909894, 1105488, 1127831, 930118, 1129576]"
81,"[844165, 1093413, 999971, 1029743, 1096036, 882830, 1082185, 845193, 995242, 898847, 1044078, 1068719, 902377, 5592931, 857849, 1056762, 981944, 989985, 995230, 953134, 910673, 901403, 978294, 1075470, 1060529, 1053763, 900491, 988136, 1023868, 1135959]"
82,"[1084036, 819308, 849202, 12810464, 1119761, 5569230, 831628, 880150, 910473, 1070702, 968215, 1000753, 1132763, 863447, 847573, 836445, 1072523, 1065538, 832001, 13072766, 1113111, 860776, 995965, 12731299, 917816, 1037337, 848029, 829617, 976511, 12263692]"
83,"[845208, 1082185, 819302, 850133, 923746, 1065593, 1059902, 6534178, 954102, 1037332, 876932, 879393, 5592931, 1069621, 901452, 907014, 877226, 940731, 1033324, 918331, 1138631, 840361, 1041259, 880228, 1076195, 12810393, 997347, 850990, 888463, 957013]"
84,"[903529, 1082185, 1080414, 829722, 920025, 1001646, 951590, 1029624, 995242, 5591038, 1074754, 987518, 1092937, 901061, 952317, 861973, 9575181, 862732, 1126420, 840361, 10250632, 868131, 1123792, 5569374, 935546, 830887, 9487927, 1080706, 939602, 925514]"
85,"[1082185, 1139782, 961554, 1021519, 826249, 1013321, 995242, 6534178, 983936, 854852, 849578, 961220, 988211, 1075368, 1065593, 908318, 1083446, 860317, 839094, 1030819, 951971, 972312, 986912, 862139, 923208, 1005186, 923149, 1105426, 934697, 904360]"
86,"[1082185, 951590, 865026, 867668, 936706, 1048462, 1029743, 1039156, 1133018, 989824, 854852, 899201, 995242, 995311, 1135195, 1005186, 8090612, 9707240, 8090519, 8090565, 857697, 1138485, 960318, 981760, 1137775, 1110843, 1003649, 1091365, 5568729, 1101502]"
87,"[13381584, 1079528, 1018364, 6391089, 1044507, 1048257, 1083043, 8293385, 881883, 1080853, 9836140, 987947, 1049478, 926823, 820291, 1104195, 1078991, 1060705, 1084591, 1071277, 961889, 6602335, 1117602, 1064797, 12811490, 928238, 5592888, 1130179, 6039740, 9677939]"
88,"[1075368, 8090521, 888104, 1082185, 6534178, 962229, 1082990, 842416, 1081177, 929018, 1015826, 1106390, 826249, 981760, 965982, 953476, 883404, 1086763, 8019716, 990440, 913270, 1058779, 1029743, 12456375, 1118787, 1065593, 893018, 12949590, 871440, 1089074]"
90,"[1082185, 862535, 955012, 1008546, 1135552, 1070820, 1068719, 6464166, 9836903, 954673, 998828, 874780, 1104414, 866540, 1101174, 5585186, 985742, 5566674, 917438, 9676997, 940806, 8011291, 9859128, 5585966, 1039549, 970365, 1006111, 950935, 865856, 5592888]"
91,"[1029743, 6534178, 838637, 1024833, 854483, 1088147, 1056651, 989275, 1082185, 910151, 1000148, 1113667, 5569098, 1060912, 911088, 964853, 1058997, 8119157, 906449, 1005849, 851394, 989101, 897678, 929668, 1136524, 1062660, 1055915, 990297, 985716, 871440]"
92,"[962568, 1082185, 860776, 995785, 845208, 6391089, 994928, 1095275, 1058997, 834484, 1049822, 987838, 934503, 895268, 1013703, 7410015, 871061, 877447, 825541, 961554, 923746, 906763, 938700, 1050645, 911409, 12946027, 930118, 1117514, 1127758, 904360]"
94,"[1005186, 6534178, 8160319, 1022981, 948651, 1115874, 1082185, 1131351, 992529, 1110843, 910291, 939636, 1117899, 1040371, 861272, 1041031, 1081177, 9836140, 1043301, 8090532, 895039, 1096317, 970202, 7166863, 851952, 823862, 999250, 1007136, 905164, 961979]"
95,"[1029743, 995242, 908531, 1082185, 849843, 6533889, 981760, 6534178, 826385, 848015, 922561, 945652, 976199, 1116770, 908846, 1088771, 6979427, 832001, 10311967, 870929, 1024329, 834484, 1138858, 823356, 5568249, 1043751, 1018740, 1005186, 5591490, 849018]"
97,"[6534178, 995242, 1075368, 1096036, 1082185, 840361, 995785, 981760, 962229, 1060318, 914190, 987562, 1114765, 6034857, 1050229, 1031892, 844179, 1034176, 833025, 1114597, 860776, 923746, 1075313, 908531, 6463752, 926905, 1004436, 6514030, 1020823, 904360]"
98,"[1091858, 1018278, 942088, 862349, 847241, 1095040, 928049, 878302, 1134522, 1077975, 1128647, 1065593, 851057, 1124729, 994928, 984715, 917742, 6602697, 976922, 1043590, 969866, 1051069, 833723, 7167249, 839147, 7168224, 1080884, 848355, 910291, 904360]"
99,"[1082185, 995242, 1029743, 824073, 1013528, 908531, 883404, 1015826, 1026094, 917839, 868015, 849843, 1073150, 6034857, 866211, 6034953, 854852, 886125, 1098248, 871162, 10457044, 909714, 5585639, 1015474, 5584620, 839849, 5582789, 885750, 1102949, 998536]"
101,"[5569845, 1133018, 929410, 6534178, 1121360, 1106523, 909894, 6533765, 951590, 866227, 8090521, 1079820, 1090931, 1080867, 991948, 1123106, 973861, 925626, 1004906, 931324, 1071939, 1001277, 1061220, 1081177, 897954, 1119089, 1048462, 1012587, 12810393, 858999]"
103,"[1106523, 839147, 961846, 883404, 1080414, 1118393, 1136257, 1011832, 1079228, 1089766, 917816, 1105488, 1020682, 1076875, 1092026, 1029743, 1098066, 826249, 913894, 1045220, 848355, 1062973, 896974, 10356441, 1108994, 1055863, 7409874, 893501, 5569471, 9526410]"
104,"[1082185, 995242, 840361, 1029743, 1098844, 962568, 1132280, 930955, 961554, 5569230, 919534, 908489, 1024306, 1103812, 890612, 1011300, 838186, 995785, 996156, 847982, 880253, 933835, 1014802, 904236, 940766, 1132771, 907631, 1002261, 822407, 888431]"
105,"[1082185, 1004906, 1133018, 1005186, 961554, 1106523, 923746, 1106301, 1059308, 860776, 1043751, 995242, 1135868, 907014, 854405, 981760, 1101010, 909894, 1107661, 1072523, 897413, 847789, 917008, 862139, 896369, 901543, 953320, 935317, 879528, 1033214]"
106,"[5569230, 993466, 6534178, 995785, 916122, 8090509, 1138487, 976114, 8019977, 1107553, 1005186, 8090521, 901287, 1127179, 1109832, 824546, 1075707, 998119, 8090532, 896369, 999625, 999104, 863802, 872417, 15827180, 1136033, 1095068, 6040065, 1051402, 892862]"
109,"[1082185, 1058997, 927265, 961554, 862682, 1051516, 840361, 12731436, 880150, 996955, 1135886, 1070803, 1046756, 835098, 845319, 881917, 902659, 994825, 856215, 830960, 10285335, 1106601, 921920, 912914, 989101, 965217, 6464166, 883783, 849843, 8290421]"
110,"[927191, 1070015, 1133018, 6534178, 951590, 860975, 860776, 995785, 1082185, 857849, 899624, 859075, 1123792, 981760, 1098066, 845208, 849843, 1044078, 1082310, 1003188, 5592931, 885290, 878996, 1081177, 834484, 826249, 893018, 847270, 910291, 904360]"
111,"[1133018, 1106523, 6534178, 847982, 1082185, 9677874, 833025, 932179, 1077555, 852486, 5566809, 1072799, 1127831, 989101, 943892, 826249, 874877, 9837076, 1112238, 9526344, 1071277, 6633273, 901062, 1116741, 9337581, 1007195, 975215, 829323, 5584027, 951412]"
112,"[6534178, 933835, 9527159, 1029504, 1011300, 1070820, 950200, 1022066, 982112, 1039156, 862349, 852856, 953476, 9337369, 10204822, 893501, 13671962, 5569471, 12384177, 843346, 1005186, 8019748, 926796, 998119, 1137775, 9488055, 12670071, 1040935, 9337581, 8119297]"
113,"[1082185, 1070820, 6534178, 976199, 909268, 840361, 903325, 833458, 862349, 962970, 1081177, 1095374, 968774, 833025, 879635, 893739, 1131550, 1018339, 854754, 947201, 6772833, 870929, 1024020, 947427, 1009969, 1083628, 870882, 954216, 8249518, 1126870]"
114,"[5568489, 1029743, 948670, 6534178, 934848, 948150, 885697, 977791, 995242, 926011, 1131115, 855817, 882604, 7025203, 1029513, 883370, 889576, 5584645, 1046689, 5585636, 895680, 875392, 1082185, 1067749, 1132948, 8291322, 989101, 929018, 7167687, 6944571]"
115,"[6534178, 963971, 1018007, 983584, 1132280, 989275, 930917, 908531, 1077359, 997128, 1082185, 1027168, 1101010, 918598, 1003188, 1098066, 883404, 933835, 1071939, 826249, 949965, 1101858, 850841, 1137507, 910032, 912280, 12648296, 963194, 1135768, 904360]"
116,"[1019637, 976199, 5569230, 1133018, 1071939, 1013703, 5569471, 923746, 849843, 1037863, 994928, 1014732, 908531, 1044078, 9297403, 1106301, 1010424, 1000840, 850058, 860975, 995242, 962568, 856772, 909894, 1082185, 1020682, 12263184, 1075305, 905539, 904360]"
117,"[1082185, 1056651, 862349, 852360, 951590, 10285106, 1125948, 974904, 852182, 852235, 854852, 995242, 867188, 9571047, 1022254, 840361, 901062, 848329, 1042702, 878996, 929410, 1089392, 856665, 1026118, 928589, 1098066, 1055863, 826249, 1007195, 1023720]"
118,"[849843, 1082185, 1083043, 1058997, 893018, 1048893, 6534178, 1096036, 995785, 825753, 935968, 1003178, 835864, 1116821, 883404, 909638, 8273950, 1054945, 897409, 1083230, 896369, 1046131, 1105769, 850807, 967569, 1107543, 1061068, 836891, 1126252, 1127831]"
119,"[1029743, 995242, 981760, 1077555, 908531, 1082185, 1119399, 972456, 12554515, 986912, 818980, 995478, 825703, 940700, 5581464, 980943, 1111722, 1005186, 5565664, 1130458, 6552253, 9526628, 1092750, 1029968, 996259, 1138467, 844697, 923670, 1102949, 9527290]"
121,"[1029743, 1033615, 852864, 923746, 995242, 12130522, 989075, 999270, 989069, 1039156, 849843, 930262, 995785, 1044078, 9836106, 5568378, 823915, 1053763, 1004906, 5591359, 972143, 1068719, 1075470, 920626, 987480, 1085333, 1101173, 1036432, 940766, 972742]"
122,"[940947, 5569230, 1086119, 839849, 1118264, 6464147, 916122, 863447, 831517, 962118, 963703, 823990, 1058779, 1053690, 1017041, 1102959, 1005186, 864033, 6463717, 5590837, 858999, 9337581, 1130777, 1123792, 1017059, 909129, 1039156, 1118393, 901032, 1028088]"
123,"[1056509, 896617, 1126899, 981760, 1029743, 1005186, 826249, 6534178, 1058997, 890610, 849843, 844179, 995242, 819063, 1044078, 8090532, 1038985, 12810393, 866140, 1094955, 6602440, 833025, 1081177, 907014, 854852, 1098066, 1070702, 973861, 5569374, 976955]"
124,"[892531, 1106523, 1037840, 1077555, 833025, 859075, 1133018, 883404, 847982, 951590, 880664, 999714, 961554, 1092026, 947798, 904813, 9526410, 1039781, 1012922, 898212, 963971, 1115175, 981760, 1004906, 914190, 15506577, 826249, 835098, 9526411, 5586658]"
125,"[1029743, 6534178, 890689, 844165, 995242, 834117, 1061220, 868764, 931672, 8090537, 6544236, 908531, 1082185, 1107553, 1055646, 883404, 849843, 6513810, 1043751, 8090532, 965772, 8090513, 1110142, 5585510, 971922, 916990, 874061, 844179, 8291322, 904360]"
127,"[6534178, 865456, 1075368, 995242, 908531, 1118787, 1044078, 940947, 1082185, 854852, 1106523, 839243, 1029743, 1005186, 945456, 962568, 1082172, 844179, 877447, 968215, 13842214, 983584, 886703, 1026118, 1052046, 1127831, 12352089, 964594, 901543, 904360]"
128,"[1082185, 969932, 840361, 1051516, 1098248, 1029743, 1015296, 9420337, 883963, 1037863, 1062001, 12263857, 886317, 1007195, 1003188, 973916, 1045109, 903325, 860776, 6534166, 1082735, 1055646, 981760, 9420067, 9420048, 8118500, 1105488, 5591611, 1024306, 1127831]"
131,"[1082185, 1055646, 995785, 923746, 8090537, 1029743, 1096036, 920455, 995242, 1085295, 981760, 981944, 893018, 903230, 6534178, 6979545, 961554, 908531, 821083, 1075214, 854852, 1007642, 933067, 1055168, 1117602, 1098284, 963502, 8069336, 1124507, 904360]"
